arrivaldatetime,duetime,departuredatetime,departureduetime,scheduledarrivaldatetime,scheduleddeparturedatetime,destination,destinationlocalized,origin,originlocalized,direction,operator,operatortype,additionalinformation,lowfloorstatus,route,sourcetimestamp,monitored,stopid
,,,,,,,,,,,,,,,,,,
18/02/2020 20:03:06,6,18/02/2020 20:03:06,6,18/02/2020 19:49:00,18/02/2020 19:49:00,Phoenix Pk,Prc an Fhionnuisce,Crofton Road,Crofton Road,Inbound,bac,1,,no,46A,18/02/2020 19:30:58,true,2
18/02/2020 20:03:43,7,18/02/2020 20:03:43,7,18/02/2020 19:59:00,18/02/2020 19:59:00,Phoenix Pk,Prc an Fhionnuisce,Crofton Road,Crofton Road,Inbound,bac,1,,no,46A,18/02/2020 19:54:05,true,2
18/02/2020 20:04:52,8,18/02/2020 20:04:52,8,18/02/2020 20:05:00,18/02/2020 20:05:00,Damastown,Baile Dama,Burlington Road,Burlington Road,Outbound,bac,1,,no,38,18/02/2020 19:06:14,true,2
18/02/2020 20:17:44,21,18/02/2020 20:17:44,21,18/02/2020 20:09:00,18/02/2020 20:09:00,Phoenix Pk,Prc an Fhionnuisce,Crofton Road,Crofton Road,Inbound,bac,1,,no,46A,18/02/2020 19:52:26,true,2
18/02/2020 20:20:38,24,18/02/2020 20:20:38,24,18/02/2020 20:21:00,18/02/2020 20:21:00,Damastown,Baile Dama,Burlington Road,Burlington Road,Outbound,bac,1,,no,38A,18/02/2020 19:21:06,true,2
18/02/2020 20:29:11,32,18/02/2020 20:29:11,32,18/02/2020 20:29:00,18/02/2020 20:29:00,Phoenix Pk,Prc an Fhionnuisce,Crofton Road,Crofton Road,Inbound,bac,1,,no,46A,18/02/2020 19:29:20,true,2
18/02/2020 20:34:52,38,18/02/2020 20:34:52,38,18/02/2020 20:35:00,18/02/2020 20:35:00,Damastown,Baile Dama,Burlington Road,Burlington Road,Outbound,bac,1,,no,38,18/02/2020 19:35:56,true,2
18/02/2020 20:47:23,51,18/02/2020 20:47:23,51,18/02/2020 20:47:00,18/02/2020 20:47:00,Damastown,Baile Dama,Burlington Road,Burlington Road,Outbound,bac,1,,no,38A,18/02/2020 19:47:29,true,2
,,,,,,,,,,,,,,,,,,
18/02/2020 19:56:32,Due,18/02/2020 19:56:32,Due,18/02/2020 19:57:00,18/02/2020 19:57:00,Ashtown Stn,Stn Bhle an Ásaigh,Parnell Street,Parnell Street,Outbound,bac,1,,no,120,18/02/2020 18:57:59,true,3
18/02/2020 20:04:19,7,18/02/2020 20:04:19,7,18/02/2020 19:55:00,18/02/2020 19:55:00,Ashington,Ashington,Drimnagh Rd,Drimnagh Rd,Inbound,bac,1,,no,122,18/02/2020 19:49:08,true,3
18/02/2020 20:17:19,20,18/02/2020 20:17:19,20,18/02/2020 20:15:00,18/02/2020 20:15:00,Ashington,Ashington,Drimnagh Rd,Drimnagh Rd,Inbound,bac,1,,no,122,18/02/2020 19:55:45,true,3
18/02/2020 20:21:32,25,18/02/2020 20:21:32,25,18/02/2020 20:22:00,18/02/2020 20:22:00,Ashtown Stn,Stn Bhle an Ásaigh,Parnell Street,Parnell Street,Outbound,bac,1,,no,120,18/02/2020 19:22:44,true,3
18/02/2020 20:40:17,43,18/02/2020 20:40:17,43,18/02/2020 20:40:00,18/02/2020 20:40:00,Ashington,Ashington,Drimnagh Rd,Drimnagh Rd,Inbound,bac,1,,no,122,18/02/2020 19:40:53,true,3
18/02/2020 20:45:58,49,18/02/2020 20:45:58,49,18/02/2020 20:46:00,18/02/2020 20:46:00,Ashtown Stn,Stn Bhle an Ásaigh,Parnell Street,Parnell Street,Outbound,bac,1,,no,120,18/02/2020 19:47:29,true,3
,,,,,,,,,,,,,,,,,,
18/02/2020 20:00:15,3,18/02/2020 20:00:15,3,18/02/2020 19:58:00,18/02/2020 19:58:00,Charlestown,Baile Shéarlais,Limekiln Ave,Limekiln Ave,Inbound,bac,1,,no,9,18/02/2020 19:45:50,true,4
18/02/2020 20:20:27,24,18/02/2020 20:20:27,24,18/02/2020 20:18:00,18/02/2020 20:18:00,Charlestown,Baile Shéarlais,Limekiln Ave,Limekiln Ave,Inbound,bac,1,,no,9,18/02/2020 19:52:26,true,4
18/02/2020 20:40:21,44,18/02/2020 20:40:21,44,18/02/2020 20:38:00,18/02/2020 20:38:00,Charlestown,Baile Shéarlais,Limekiln Ave,Limekiln Ave,Inbound,bac,1,,no,9,18/02/2020 19:52:26,true,4
,,,,,,,,,,,,,,,,,,
18/02/2020 20:01:03,4,18/02/2020 20:01:03,4,18/02/2020 19:54:00,18/02/2020 19:54:00,IKEA,IKEA,Bray,Bré,Inbound,bac,1,,no,155,18/02/2020 19:56:18,true,6
18/02/2020 20:08:07,11,18/02/2020 20:08:07,11,18/02/2020 20:01:00,18/02/2020 20:01:00,Harristown,Baile Anraí,Monkstown Ave,Monkstown Ave,Inbound,bac,1,,no,4,18/02/2020 19:44:45,true,6
18/02/2020 20:16:13,19,18/02/2020 20:16:13,19,18/02/2020 20:14:00,18/02/2020 20:14:00,IKEA,IKEA,Bray,Bré,Inbound,bac,1,,no,155,18/02/2020 19:34:51,true,6
18/02/2020 20:34:06,37,18/02/2020 20:34:06,37,18/02/2020 20:34:00,18/02/2020 20:34:00,IKEA,IKEA,Bray,Bré,Inbound,bac,1,,no,155,18/02/2020 19:34:51,true,6
18/02/2020 20:41:24,45,18/02/2020 20:41:24,45,18/02/2020 20:41:00,18/02/2020 20:41:00,Harristown,Baile Anraí,Monkstown Ave,Monkstown Ave,Inbound,bac,1,,no,4,18/02/2020 19:41:27,true,6
18/02/2020 20:50:57,54,18/02/2020 20:50:57,54,18/02/2020 20:51:00,18/02/2020 20:51:00,Harristown,Baile Anraí,Monkstown Ave,Monkstown Ave,Inbound,bac,1,,no,4,18/02/2020 19:51:21,true,6
18/02/2020 20:54:06,57,18/02/2020 20:54:06,57,18/02/2020 20:54:00,18/02/2020 20:54:00,IKEA,IKEA,Bray,Bré,Inbound,bac,1,,no,155,18/02/2020 19:54:39,true,6
,,,,,,,,,,,,,,,,,,
18/02/2020 19:58:25,2,18/02/2020 19:58:25,2,18/02/2020 19:53:00,18/02/2020 19:53:00,Charlestown,Baile Shéarlais,Fonthill Rd,Fonthill Rd,Inbound,bac,1,,no,40,18/02/2020 19:54:05,true,7
