arrivaldatetime,duetime,departuredatetime,departureduetime,scheduledarrivaldatetime,scheduleddeparturedatetime,destination,destinationlocalized,origin,originlocalized,direction,operator,operatortype,additionalinformation,lowfloorstatus,route,sourcetimestamp,monitored,stopid
18/02/2020 21:30:24,6,18/02/2020 21:30:24,6,18/02/2020 21:29:00,18/02/2020 21:29:00,LUAS The Point,LUAS Iosta na Rinne,LUAS Tallaght,LUAS Tamhlacht,Inbound,LUAS,3,,no,Red,18/02/2020 21:23:20,true,luas1
18/02/2020 21:30:17,6,18/02/2020 21:30:17,6,18/02/2020 21:28:00,18/02/2020 21:28:00,LUAS Tallaght,LUAS Tamhlacht,LUAS The Point,LUAS Iosta na Rinne,Outbound,LUAS,3,,no,Red,18/02/2020 21:21:43,true,luas10
18/02/2020 21:36:36,13,18/02/2020 21:36:36,13,18/02/2020 21:37:00,18/02/2020 21:37:00,LUAS The Point,LUAS Iosta na Rinne,LUAS Tallaght,LUAS Tamhlacht,Inbound,LUAS,3,,no,Red,18/02/2020 21:18:26,true,luas10
18/02/2020 21:40:15,16,18/02/2020 21:40:15,16,18/02/2020 21:40:00,18/02/2020 21:40:00,LUAS Tallaght,LUAS Tamhlacht,LUAS The Point,LUAS Iosta na Rinne,Outbound,LUAS,3,,no,Red,18/02/2020 21:21:43,true,luas10
18/02/2020 21:29:21,5,18/02/2020 21:29:21,5,18/02/2020 21:27:00,18/02/2020 21:27:00,LUAS Tallaght,LUAS Tamhlacht,LUAS The Point,LUAS Iosta na Rinne,Outbound,LUAS,3,,no,Red,18/02/2020 21:21:43,true,luas11
18/02/2020 21:37:31,13,18/02/2020 21:37:31,13,18/02/2020 21:38:00,18/02/2020 21:38:00,LUAS The Point,LUAS Iosta na Rinne,LUAS Tallaght,LUAS Tamhlacht,Inbound,LUAS,3,,no,Red,18/02/2020 21:18:25,true,luas11
18/02/2020 21:39:19,15,18/02/2020 21:39:19,15,18/02/2020 21:39:00,18/02/2020 21:39:00,LUAS Tallaght,LUAS Tamhlacht,LUAS The Point,LUAS Iosta na Rinne,Outbound,LUAS,3,,no,Red,18/02/2020 21:21:43,true,luas11
18/02/2020 21:27:49,4,18/02/2020 21:27:49,4,18/02/2020 21:27:00,18/02/2020 21:27:00,LUAS Tallaght,LUAS Tamhlacht,LUAS The Point,LUAS Iosta na Rinne,Outbound,LUAS,3,,no,Red,18/02/2020 21:15:08,true,luas12
18/02/2020 21:38:09,14,18/02/2020 21:38:09,14,18/02/2020 21:39:00,18/02/2020 21:39:00,LUAS The Point,LUAS Iosta na Rinne,LUAS Tallaght,LUAS Tamhlacht,Inbound,LUAS,3,,no,Red,18/02/2020 21:20:05,true,luas12
18/02/2020 21:38:14,14,18/02/2020 21:38:14,14,18/02/2020 21:39:00,18/02/2020 21:39:00,LUAS Tallaght,LUAS Tamhlacht,LUAS The Point,LUAS Iosta na Rinne,Outbound,LUAS,3,,no,Red,18/02/2020 21:21:43,true,luas12
