arrivaldatetime,duetime,departuredatetime,departureduetime,scheduledarrivaldatetime,scheduleddeparturedatetime,destination,destinationlocalized,origin,originlocalized,direction,operator,operatortype,additionalinformation,lowfloorstatus,route,sourcetimestamp,monitored,stopid
19/02/2020 13:09:00,13,19/02/2020 13:10:00,14,19/02/2020 13:09:00,19/02/2020 13:10:00,Hazelhatch Station,Stáisiún Collchoill ,Grand Canal Dock Station,Stáisiún Dug na Canálach Móire,Southbound,ir,2,Departed Drumcondra,no,Train,19/02/2020 12:55:14,true,admtn
19/02/2020 13:16:00,20,19/02/2020 13:17:00,21,19/02/2020 13:11:00,19/02/2020 13:12:00,Dublin Heuston Station,Stáisiún Heuston,Portlaoise Station,Stáisiún Port Laoise,To Dublin Heuston,ir,2,Departed Kildare,no,Train,19/02/2020 12:55:14,true,admtn
19/02/2020 13:35:00,39,19/02/2020 13:36:00,40,19/02/2020 13:35:00,19/02/2020 13:36:00,Portlaoise Station,Stáisiún Port Laoise,Dublin Heuston Station,Stáisiún Heuston,To Portlaoise,ir,2,,no,Train,19/02/2020 12:55:14,true,admtn
19/02/2020 13:37:00,41,19/02/2020 13:38:00,42,19/02/2020 13:37:00,19/02/2020 13:38:00,Grand Canal Dock Station,Stáisiún Dug na Canálach Móire,Hazelhatch Station,Stáisiún Collchoill ,Northbound,ir,2,,no,Train,19/02/2020 12:55:14,true,admtn
19/02/2020 14:09:00,73,19/02/2020 14:10:00,74,19/02/2020 14:09:00,19/02/2020 14:10:00,Newbridge Station,Stáisiún Droichead Nua,Grand Canal Dock Station,Stáisiún Dug na Canálach Móire,Southbound,ir,2,,no,Train,19/02/2020 12:55:14,true,admtn
19/02/2020 14:11:00,75,19/02/2020 14:12:00,76,19/02/2020 14:11:00,19/02/2020 14:12:00,Dublin Heuston Station,Stáisiún Heuston,Portlaoise Station,Stáisiún Port Laoise,To Dublin Heuston,ir,2,,no,Train,19/02/2020 12:55:14,true,admtn
19/02/2020 13:04:00,8,19/02/2020 13:05:00,9,19/02/2020 12:59:00,19/02/2020 13:00:00,Maynooth Station,Stáisiún Maigh Nuad,Dublin Connolly Station,Stáisiún Stáisiún Uí Chonghaile,Northbound,ir,2,Departed Dublin Connolly,no,Train,19/02/2020 12:55:13,true,ashtn
19/02/2020 13:10:00,14,19/02/2020 13:11:00,15,19/02/2020 13:07:00,19/02/2020 13:08:00,Dublin Connolly Station,Stáisiún Stáisiún Uí Chonghaile,Maynooth Station,Stáisiún Maigh Nuad,Southbound,ir,2,Departed Leixlip (Confey),no,Train,19/02/2020 12:55:13,true,ashtn
19/02/2020 13:29:00,33,19/02/2020 13:30:00,34,19/02/2020 13:29:00,19/02/2020 13:30:00,Maynooth Station,Stáisiún Maigh Nuad,Dublin Connolly Station,Stáisiún Stáisiún Uí Chonghaile,Northbound,ir,2,,no,Train,19/02/2020 12:55:13,true,ashtn
19/02/2020 13:37:00,41,19/02/2020 13:38:00,42,19/02/2020 13:37:00,19/02/2020 13:38:00,Dublin Connolly Station,Stáisiún Stáisiún Uí Chonghaile,Maynooth Station,Stáisiún Maigh Nuad,Southbound,ir,2,,no,Train,19/02/2020 12:55:13,true,ashtn
19/02/2020 13:59:00,63,19/02/2020 14:00:00,64,19/02/2020 13:59:00,19/02/2020 14:00:00,Maynooth Station,Stáisiún Maigh Nuad,Dublin Connolly Station,Stáisiún Stáisiún Uí Chonghaile,Northbound,ir,2,,no,Train,19/02/2020 12:55:13,true,ashtn
19/02/2020 14:07:00,71,19/02/2020 14:08:00,72,19/02/2020 14:07:00,19/02/2020 14:08:00,Dublin Connolly Station,Stáisiún Stáisiún Uí Chonghaile,Maynooth Station,Stáisiún Maigh Nuad,Southbound,ir,2,,no,Train,19/02/2020 12:55:13,true,ashtn
